bodies,threads,time_sec
10,1,0.11694
10,2,0.204793
10,4,0.347504
10,6,0.5805
10,8,1.13319
50,1,0.117577
50,2,0.23536
50,4,0.376385
50,6,0.668504
50,8,1.11744
100,1,0.208383
100,2,0.750023
100,4,0.452683
100,6,0.68119
100,8,0.864949
200,1,1.49126
200,2,0.950645
200,4,0.796628
200,6,1.23756
200,8,1.0809
500,1,11.9191
500,2,8.66667
500,4,7.53361
500,6,6.53922
500,8,7.41798
1000,1,77.5687
1000,2,59.3895
1000,4,41.235
1000,6,35.9339
1000,8,34.3638
2000,1,580.551
2000,2,471.259
2000,4,365.592
2000,6,294.844
2000,8,263.896
