bodies,threads,time_sec
10,1,0.0159242
10,2,0.0221992
10,4,0.0357954
10,6,0.0715005
10,8,0.141845
50,1,0.0350746
50,2,0.0327019
50,4,0.0416193
50,6,0.0715622
50,8,0.130602
100,1,0.135509
100,2,0.101574
100,4,0.0809594
100,6,0.143929
100,8,0.168185
200,1,0.774632
200,2,0.566299
200,4,0.36488
200,6,0.303993
200,8,0.277141
500,1,12.7033
500,2,12.1608
500,4,7.54077
500,6,3.16059
500,8,2.49342
1000,1,69.2545
1000,2,52.1867
1000,4,32.5967
1000,6,23.6626
1000,8,18.7181
2000,1,519.395
2000,2,400.335
2000,4,251.096
2000,6,183.075
2000,8,144.78
