bodies,threads,time_sec
10,1,0.0127493
10,2,0.0366676
10,4,0.0657859
10,6,0.13189
10,8,0.194719
50,1,0.0346569
50,2,0.0516869
50,4,0.0732645
50,6,0.217967
50,8,0.213882
100,1,0.135813
100,2,0.122294
100,4,0.111518
100,6,0.181031
100,8,0.214422
200,1,0.771767
200,2,0.580691
200,4,0.387282
200,6,0.36798
200,8,0.447188
500,1,9.36243
500,2,7.0387
500,4,4.39667
500,6,3.22888
500,8,2.61803
1000,1,68.1828
1000,2,51.9615
1000,4,32.3401
1000,6,23.6173
1000,8,18.8112
2000,1,516.157
2000,2,399.241
2000,4,250.147
2000,6,183.795
2000,8,145.353
